sku,price
OPMBNTF0018,7500
OPMBNTF0023,6696.43
OPMBNTF0019,5580.36
OPMBNTFB0019,5044.64
OPMBNTF0020,5133.93
OPMBNTFB0023,5357.14
OPMBNTF0467,7142.86
OPMBNTF0028,5803.57
OPMBNTFB0021,4910.71
OPMBNTFB0020,5044.64
OPMBNTF0026,5803.57
OPMBNTFB0017,5357.14
OPMBNTF0038,5178.57
OPMBNTF0093,5000
OPMBNTF0029,5803.57
OPMBNTF0643,7142.86
OPMBNTFB0026,5000
OPMBNTF0037,5178.57
OPMBNTF0599,4687.5
OPMBNTF0605,5000
OPMBNTF0099,7053.57
OPMBNTF0557,6250
OPMBNTF0604,6250
OPMBNTFB0035,6428.57
OPMBNTF0598,7053.57
OPMBNTF0100,7589.29
OPMBNTFB0018,6428.57
OPMBNTF0602,7589.29
